Home_club,Away_club,Stadium,Tournament,Match_date,Match_time,Match fixed,Ticket only discount,Cat 1 quantitiy,Cat 1 price,Cat 2 quantity,Cat 2 price,Cat 3 quantity,Cat 3 price,Cat 4 quantity,Cat 4 price,Hotel price,Package,Description_English,available_before_days,id
Frankrijk,Oostenrijk,Stade De France,Nations League,22-9-2022,20:45,1,0,8,0,8,0,8,0,,,,0,"We offer tickets Frankrijk vs. Oostenrijk at Stade De France. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,1
België,Polen,Koning Boudewijnstadion,Nations League,8-6-2022,20:45,1,0,8,150,8,75,,,,,,0,"We offer tickets België vs. Polen at Koning Boudewijnstadion. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,2
België ,Wales,Koning Boudewijnstadion,Nations League,22-9-2022,20:45,1,0,8,0,8,0,,,,,,0,"We offer tickets België  vs. Wales at Koning Boudewijnstadion. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,3
Engeland vrouwen,Oostenrijk vrouwen,Old Trafford,Women's Euro England 2022,6-7-2022,20:00,1,0,8,115,8,85,8,65,,,,0,"We offer tickets Engeland vrouwen vs. Oostenrijk vrouwen at Old Trafford. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,4
Nederland vrouwen,Zweden vrouwen,Bramall Lane,Women's Euro England 2022,9-7-2022,20:00,1,0,8,45,8,35,8,25,,,,0,"We offer tickets Nederland vrouwen vs. Zweden vrouwen at Bramall Lane. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,5
Nederland vrouwen,Portugal vrouwen,Leigh Sports Village,Women's Euro England 2022,13-7-2022,20:00,1,0,8,45,8,35,8,25,,,,0,"We offer tickets Nederland vrouwen vs. Portugal vrouwen at Leigh Sports Village. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,6
Nederland vrouwen,Zwitserland vrouwen,Bramall Lane,Women's Euro England 2022,17-7-2022,17:00,1,0,8,45,8,35,8,25,,,,0,"We offer tickets Nederland vrouwen vs. Zwitserland vrouwen at Bramall Lane. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,7
Arsenal,Sevilla,Emirates Stadium,Emirates Cup,30-7-2022,12:30,1,0,8,0,8,0,,,,,,0,"We offer tickets Arsenal vs. Sevilla at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,8
Finalist 1,Finalist 2,Wembley,Women's Euro England 2022,31-7-2022,16:00,1,0,8,0,8,0,8,0,,,,0,"We offer tickets Finalist 1 vs. Finalist 2 at Wembley. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,9
Borussia Monchengladbach,Real Sociedad,Borussia Park,Vriendschappelijke wedstrijden,23-7-2022,15:30,1,0,8,0,8,0,,,,,,0,"We offer tickets Borussia Monchengladbach vs. Real Sociedad at Borussia Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,10
Newcastle United,Atalanta,St James Park,Vriendschappelijke wedstrijden,29-7-2022,19:45,1,0,8,0,8,0,,,,,,0,"We offer tickets Newcastle United vs. Atalanta at St James Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,11
Newcastle United,Athletic de Bilbao,St James Park,Vriendschappelijke wedstrijden,30-7-2022,15:00,0,0,8,0,8,0,,,,,,0,"We offer tickets Newcastle United vs. Athletic de Bilbao at St James Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,12
VFL Wolfsburg,Brentford,Volkswagen Arena,Vriendschappelijke wedstrijden,23-7-2022,16:00,1,0,8,85,8,65,,,,,,0,"We offer tickets VFL Wolfsburg vs. Brentford at Volkswagen Arena. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,13
SL Benfica,Newcastle United,Estadio da Luz,Vriendschappelijke wedstrijden,26-7-2022,19:00,1,0,8,0,8,0,,,,,,0,"We offer tickets SL Benfica vs. Newcastle United at Estadio da Luz. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,14
FC Koln,AC Milan,RheinEnergieStadion,Vriendschappelijke wedstrijden,16-7-2022,19:00,1,0,8,85,8,75,,,,,,0,"We offer tickets FC Koln vs. AC Milan at RheinEnergieStadion. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,15
